"كد دوره در نفت";"ترتيب";"كد دوره";"كد تخصصي";"ساعت";"عنوان دوره";"عنوان گروه تخصصي";"نوع دوره";"كد پيش نياز";"حداكثر ظرفيت";"اهداف دوره";"شرايط شركت كنندگان";"نحوه اجرا";"تجهيزات مورد نياز";"فضاي آموزشي";"روش تدريس";"منابع آموزشي";"شرايط مدرس";"مقطع تحصيلي و رشته";"تجربه تدريس";"تجربه حرفه اي";"سطح ارزيابي";"روش ارزيابي";"شاخص ارزيابي";"توضيحات";"شاخص ارزيابي1111";"شاخص ارزيابي11111"
58;63042;;"630";32;"مدلسازي و اناليز پيامدها (CONSEQUENCE ANALYSIS)در صنايع به كمك  نرم افزارهاي ALOHA  و PHAST";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"براورد حدود تبعات ناشي از حوادث مختلف مانند آتش سوزي نشر گازهاي سمي و قابل اشتعال يا انفجار با نرم افزارهاي مربوطه";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي / ايمني";"1";"3";"رفتاري";"آزمون";"تحويل پروژه";;;
59;63043;;"630";32;"مطالعات  HAZOP به كمك نرم افزارPHA-PRO";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"مطالعه و بررسي مخاطرات فرايندي واحدهاي بهره برداري";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي / ايمني";"1";"3";"رفتاري";"آزمون";"تحويل پروژه";;;
60;15007;;"150";16;"رويكردهاي نوين در روابط عمومي";"پشتيباني و ستاد - روابط عمومي";"شغلي";;20;"آشنايي با ديدگاههاي نوين در حوزه روابط عمومي";"كاركنان شاغل در روابط عمومي";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس ارتباطات/ علوم اجتماعي";"5سال";"7سال";"واكنشي";"نظرسنجي";"60";;;
61;15024;;"150";32;"تكنولوژي چاپ و نشر";"پشتيباني و ستاد - روابط عمومي";"شغلي";;12;"آشنايي و توانايي نظارت بر فرايند چاپ محصولات";"كاركنان واحد انتشارت و تبليغات";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - نرم افزار";;"فوق ليسانس";"5سال";"10سال";"واكنشي";"نظرسنجي";"60";;;
62;15023;;"150";24;"هنر خوب نوشتن در روابط عمومي";"پشتيباني و ستاد - روابط عمومي";"شغلي";;12;"فراگيري نحوه تنظيم متون مربوط به روابط عمومي";"كاركنان شاغل در روابط عمومي";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه";"تجربه حرفه اي درروابط عمومي";"فوق ليسانس ارتباطات و علوم اجتماعي و ادبيات";"5سال";"10سال";"يادگيري";"آزمون";"70";;;
63;15030;;"150";8;"روانشناسي رنگها";"پشتيباني و ستاد - روابط عمومي";"شغلي";;20;"آشنايي  با نحوه بكارگيري رنگها";"كاركنان شاغل در روابط عمومي";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;"فوق ليسانس روانشناسي";"5سال";"10سال";"واكنشي";"نظرسنجي";"70";;;
64;61001;;"610";16;"مباني مهندسي شيمي";"طراحي و مهندسي فرآيند - فرآيند";"عمومي";;15;"آشنايي كارشناسان تعميرات و مهندسي مجتمعها با مباني فرايندهاي شيمي";"كليه كاركنان واحدهاي تعميرات و خدمات فني";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناس مهندسي شيمي";"5";"7";"يادگيري";"آزمون";"70 از 100";;;
66;6026;;"060";40;" Advance 4";"عمومي - زبان عمومي";"عمومي";"06019";15;"ارتقاء سطح تسلط زباني 4 مهارت اصلي در سطح پيشرفته 4";"كاركنان صنعت نفت";"حضوري";"كلاس U  شكل و دستگاه پخش مالتي مديا";"كلاس- مجازي";"تئوري-عملي";"كتاب - نرم افزار";"قبولي در آزمون كتبي و مصاحبه";"ليسانس زبان انگليسي";"3";"5";"يادگيري";"آزمون";"70%";;;
67;61017;;"610";24;"اصول فراورش گاز با امين";"طراحي و مهندسي فرآيند - فرآيند";"شغلي";;15;"آشنايي كامل با سيستم شيرين سازي گاز ترش با آمين";"كليه تكنسين هاي بهره برداري از واحدهاي پالايش - آب و بخار";"حضوري";;"كلاس";"تئوري";"كتاب";;"كارشناس ارشد شيمي گرايش گاز";"3";"5";"واكنشي";"نظرسنجي";"80 از 100";;;
68;61049;;"610";24;"فرايند شيرين سازي گاز";"طراحي و مهندسي فرآيند - فرآيند";"شغلي";;15;"آشنايي كامل با سيستم شيرين سازي گاز ترش با امين";"كارشناسان بهره برداري از واحدهاي پالايش، اب و بخار";"حضوري";;"كلاس";"تئوري";"كتاب";;"كارشناس مهندسي شيمي";"3";"5";"يادگيري";"آزمون";"60 از 100";;;
69;65001;;"650";40;"اصول ايمني در آزمايشگاه";"آزمايشگاه شيمي";"شغلي";;15;"آشنايي با نحوه كار ايمن در آزمايشگاهها";" شاغلين آزمايشگاه و واحدهاي مرتبط";"حضوري";;"آزمايشگاه";"تئوري-عملي";"كتاب-جزوه";"تجربه كار آزمايشگاهي الزامي است و بايد با نظارت افسر ايمني مربوطه همراه باشد";"كارشناس شيمي  يا كارشناس HSE";"10سال";"7سال";"يادگيري";"آزمون";"70 از 100";;;
70;16001;;"160";8;"روش هاي جمع آوري اطلاعات";"پشتيباني و ستاد - حراست";"شغلي";;25;"آشنايي با انواع اطلاعات و اخبار و روش هاي جمع آوري آنها";"كاركنان حراست";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;"ليسانس";"2 سال";"5 سال";"يادگيري";"آزمون";"60 از 100";;;
71;16501;;"165";24;"افسر امنيتي تسهيلات بندري - مقدماتي";"پشتيباني و ستاد - حراست - بنادر";"شغلي";;15;"ارتقاء سطح هوشياري و آگاهي امنيتي پرسنل حراستي تسهيلات بندري";"افسران ، سرپرستان و روساي حراست";"حضوري";;"كلاس";"تئوري";"جزوه - نرم افزار";;"ليسانس";"3 سال";"7 سال";"يادگيري";"آزمون";"60 از 100";;;
72;16502;;"165";24;"افسر امنيتي تسهيلات بندري- مياني";"پشتيباني و ستاد - حراست - بنادر";"شغلي";"71";15;"آشنايي با تهديدات امنيتي  در كشتي ها و بنادر و بازرسي اوليه با در نظر گرفتن ارزيابي هاي امنيتي.";"افسران ، سرپرستان و روساي حراست";"حضوري";;"كلاس";"تئوري-عملي";"جزوه - نرم افزار";;"ليسانس";"5 سال";"7 سال";"يادگيري";"آزمون";"60 از 100";;;
73;16503;;"165";24;"افسر امنيتي تسهيلات بندري - پيشرفته(PFSO)";"پشتيباني و ستاد - حراست - بنادر";"شغلي";"72";15;"شناسايي تهديدات امنيتي  در كشتي ها و بنادر و توانايي انجام بازرسي با در نظر گرفتن ارزيابي هاي امنيتي.";"افسران ، سرپرستان و روساي حراست";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"فوق ليسانس";"7 سال";"10 سال";"يادگيري";"آزمون";"60 از 100";;;
74;16504;;"165";24;"افسر امنيتي تسهيلات بندري - تكميلي ( PFSO )";"پشتيباني و ستاد - حراست - بنادر";"شغلي";"73";15;"شناسايي تهديدات امنيتي و اقدامات پيشگيرانه در برابر حوادث امنيتي كه كشتي ها و تسهيلات بندري را تحت تأثير قرار مي-دهند.";"افسران ، سرپرستان و روساي حراست";"حضوري";;"كلاس";"تئوري-عملي";"جزوه - نرم افزار";;"فوق ليسانس";"7 سال";"10 سال";"يادگيري";"آزمون";"70 از 100";;;
75;16506;;"165";16;"پدافند غيرعامل تسهيلات بندري و دريايي";"پشتيباني و ستاد - حراست - بنادر";"شغلي";"71";20;"ارتقا توانايي فراگيران جهت  انجام اقدامات پدافند غيرعامل در بنادر";"افسران ، سرپرستان و روساي حراست";"حضوري";;"كلاس";"تئوري";"جزوه";;"فوق ليسانس";"5 سال";"10 سال";"يادگيري";"آزمون";"60 از 100";;;
76;16002;;"160";8;"توجيه كاركنان اعزامي به خارج از كشور (امنيت سفرهاي خارجي)";"پشتيباني و ستاد - حراست";"عمومي";;25;"آشنايي فراگيران با تهديدات در مأموريتهاي خارج از كشور";"كليه كاركنان اعزامي به خارج از كشور";"حضوري";;"كلاس";"تئوري";"جزوه";;"فوق ليسانس";"5 سال";"7 سال";"يادگيري";"آزمون";"60 از 100";;;
77;16003;;"160";24;"حفاظت و حراست فرودگاهها";"پشتيباني و ستاد - حراست";"شغلي";;25;"آشنايي شركت كنندگان با نحوه حفاظت و حراست از فرودگاههاي اختصاصي نفت";"كاركنان مرتبط حراست";"حضوري";;"كلاس";"تئوري-عملي";"جزوه";;"ليسانس";"3 سال";"5 سال";"واكنشي";"آزمون";"60 از 100";;;
78;16004;;"160";40;"حفاظت فيزيكي- سطح 1";"پشتيباني و ستاد - حراست";"شغلي";;40;"اشنايي با نحوه حفاظت از اماكن ، تأسيسات، دارايي هاي سازمان و كنترل ورود و خروج مراجعين";"كاركنان حراست";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه";;"ليسانس";"5 سال";"7 سال";"واكنشي";"آزمون";"60 از 100";;;
79;16005;;"160";40;"حفاظت فيزيكي- سطح 2";"پشتيباني و ستاد - حراست";"شغلي";"16004";40;"آشنايي و بكارگيري سامانه هاي مدرن حفاظت فيزيكي";"كاركنان حراست";"حضوري";;"كلاس";"تئوري-عملي";"جزوه";;"ليسانس";"5 سال";"7 سال";"واكنشي";"آزمون";"60 از 100";;;
80;16006;;"160";16;"مديريت حفاظت فيزيكي";"پشتيباني و ستاد - حراست";"شغلي";;20;"كسب مهارت در تهيه و تنظيم طرح حفاظت فيزيكي";"رؤساي حراست و مسئولين حفاظت فيزيكي";"حضوري";;"كلاس";"تئوري";"جزوه";;"فوق ليسانس";"7 سال";"10 سال";"يادگيري";"آزمون";"60 از 100";;;
81;16007;;"160";8;"حفاظت گفتار";"پشتيباني و ستاد - حراست";"عمومي";;25;"آشنايي با روشهاي حفاظت گفتار";"كليه كاركنان";"حضوري";;"كلاس";"تئوري";"جزوه";;"ليسانس";"3 سال";"5 سال";"واكنشي";"آزمون";"60 از 100";;;
82;16008;;"160";8;"تهديدات و تخليه تلفني";"پشتيباني و ستاد - حراست";"عمومي";;20;"آشنايي با روشها و شگردهاي تخليه تلفني و راههاي مقابله با آن";"كليه كاركنان";"حضوري";;"كلاس";"تئوري-عملي";"جزوه";;"فوق ليسانس";"3 سال";"7 سال";"واكنشي";"آزمون";"60 از 100";;;
83;16009;;"160";8;"حفاظت پرسنلي";"پشتيباني و ستاد - حراست";"شغلي";;25;"صيانت از نيروي انساني و  مراحل حفاظت پرسنلي";"كاركنان حراست";"حضوري";;"كلاس";"تئوري";"جزوه";;"فوق ليسانس";"5 سال";"10 سال";"يادگيري";"آزمون";"60 از 100";;;
84;16010;;"160";16;"حفاظت اسناد و مدارك";"پشتيباني و ستاد - حراست";"عمومي";;20;"آشنايي با اسناد و مدارك طبقه بندي شده و نحوه نگهداري و حفاظت از آنها";"كليه كاركنان";"حضوري";;"كلاس";"تئوري-عملي";"جزوه";;"ليسانس";"5 سال";"7 سال";"يادگيري";"آزمون";"60 از 100";;;
